Variant,Age,Sex,Year,Population projection by age and sex 2026-2075
Low variant L1,55 years,Females,2027,2069
Low variant L1,55 years,Females,2028,2367
Low variant L1,55 years,Females,2029,2332
Low variant L1,55 years,Females,2030,2190
Low variant L1,55 years,Females,2031,2301
Low variant L1,55 years,Females,2032,2288
Low variant L1,55 years,Females,2033,2285
Low variant L1,55 years,Females,2034,2400
Low variant L1,55 years,Females,2035,2587
Low variant L1,55 years,Females,2036,2632
Low variant L1,55 years,Females,2037,2561
Low variant L1,55 years,Females,2038,2597
Low variant L1,55 years,Females,2039,2686
Low variant L1,55 years,Females,2040,2670
Low variant L1,55 years,Females,2041,2665
Low variant L1,55 years,Females,2042,2651
Low variant L1,55 years,Females,2043,2704
Low variant L1,55 years,Females,2044,2992
Low variant L1,55 years,Females,2045,3114
Low variant L1,55 years,Females,2046,3316
Low variant L1,55 years,Females,2047,3207
Low variant L1,55 years,Females,2048,3346
Low variant L1,55 years,Females,2049,3573
Low variant L1,55 years,Females,2050,3533
Low variant L1,55 years,Females,2051,3467
Low variant L1,55 years,Females,2052,3533
Low variant L1,55 years,Females,2053,3590
Low variant L1,55 years,Females,2054,3621
Low variant L1,55 years,Females,2055,3668
Low variant L1,55 years,Females,2056,3629
Low variant L1,55 years,Females,2057,3438
Low variant L1,55 years,Females,2058,3462
Low variant L1,55 years,Females,2059,3417
Low variant L1,55 years,Females,2060,3360
Low variant L1,55 years,Females,2061,3200
Low variant L1,55 years,Females,2062,3211
Low variant L1,55 years,Females,2063,3204
Low variant L1,55 years,Females,2064,3349
Low variant L1,55 years,Females,2065,3404
Low variant L1,55 years,Females,2066,3396
Low variant L1,55 years,Females,2067,3209
Low variant L1,55 years,Females,2068,3272
Low variant L1,55 years,Females,2069,3139
Low variant L1,55 years,Females,2070,3080
Low variant L1,55 years,Females,2071,3010
Low variant L1,55 years,Females,2072,2967
Low variant L1,55 years,Females,2073,2931
Low variant L1,55 years,Females,2074,2850
Low variant L1,56 years,Total,2026,4173
Low variant L1,56 years,Total,2027,4109
Low variant L1,56 years,Total,2028,4382
Low variant L1,56 years,Total,2029,4835
Low variant L1,56 years,Total,2030,4935
Low variant L1,56 years,Total,2031,4709
Low variant L1,56 years,Total,2032,4920
Low variant L1,56 years,Total,2033,5029
Low variant L1,56 years,Total,2034,4934
Low variant L1,56 years,Total,2035,5192
Low variant L1,56 years,Total,2036,5576
Low variant L1,56 years,Total,2037,5706
Low variant L1,56 years,Total,2038,5556
Low variant L1,56 years,Total,2039,5750
Low variant L1,56 years,Total,2040,5834
Low variant L1,56 years,Total,2041,5864
Low variant L1,56 years,Total,2042,5790
Low variant L1,56 years,Total,2043,5918
Low variant L1,56 years,Total,2044,6219
Low variant L1,56 years,Total,2045,6871
Low variant L1,56 years,Total,2046,7027
Low variant L1,56 years,Total,2047,7621
Low variant L1,56 years,Total,2048,7498
Low variant L1,56 years,Total,2049,7789
Low variant L1,56 years,Total,2050,8151
Low variant L1,56 years,Total,2051,8149
Low variant L1,56 years,Total,2052,7949
Low variant L1,56 years,Total,2053,8078
Low variant L1,56 years,Total,2054,8069
Low variant L1,56 years,Total,2055,8083
Low variant L1,56 years,Total,2056,7936
Low variant L1,56 years,Total,2057,8014
Low variant L1,56 years,Total,2058,7625
Low variant L1,56 years,Total,2059,7565
Low variant L1,56 years,Total,2060,7418
Low variant L1,56 years,Total,2061,7362
Low variant L1,56 years,Total,2062,7079
Low variant L1,56 years,Total,2063,7033
Low variant L1,56 years,Total,2064,7027
Low variant L1,56 years,Total,2065,7300
Low variant L1,56 years,Total,2066,7398
Low variant L1,56 years,Total,2067,7337
Low variant L1,56 years,Total,2068,6976
Low variant L1,56 years,Total,2069,6974
Low variant L1,56 years,Total,2070,6651
Low variant L1,56 years,Total,2071,6587
Low variant L1,56 years,Total,2072,6345
Low variant L1,56 years,Total,2073,6222
Low variant L1,56 years,Total,2074,6126
Low variant L1,56 years,Males,2026,2105
Low variant L1,56 years,Males,2027,2142
Low variant L1,56 years,Males,2028,2307
Low variant L1,56 years,Males,2029,2461
Low variant L1,56 years,Males,2030,2598
Low variant L1,56 years,Males,2031,2514
Low variant L1,56 years,Males,2032,2615
Low variant L1,56 years,Males,2033,2735
Low variant L1,56 years,Males,2034,2644
Low variant L1,56 years,Males,2035,2787
Low variant L1,56 years,Males,2036,2986
Low variant L1,56 years,Males,2037,3071
Low variant L1,56 years,Males,2038,2991
Low variant L1,56 years,Males,2039,3149
Low variant L1,56 years,Males,2040,3145
Low variant L1,56 years,Males,2041,3191
Low variant L1,56 years,Males,2042,3123
Low variant L1,56 years,Males,2043,3265
Low variant L1,56 years,Males,2044,3514
Low variant L1,56 years,Males,2045,3878
Low variant L1,56 years,Males,2046,3912
Low variant L1,56 years,Males,2047,4306
Low variant L1,56 years,Males,2048,4303
Low variant L1,56 years,Males,2049,4455
Low variant L1,56 years,Males,2050,4590
Low variant L1,56 years,Males,2051,4627
Low variant L1,56 years,Males,2052,4493
Low variant L1,56 years,Males,2053,4556
Low variant L1,56 years,Males,2054,4490
Low variant L1,56 years,Males,2055,4480
Low variant L1,56 years,Males,2056,4285
Low variant L1,56 years,Males,2057,4401
Low variant L1,56 years,Males,2058,4203
Low variant L1,56 years,Males,2059,4118
Low variant L1,56 years,Males,2060,4009
Low variant L1,56 years,Males,2061,4011
Low variant L1,56 years,Males,2062,3887
Low variant L1,56 years,Males,2063,3830
Low variant L1,56 years,Males,2064,3831
Low variant L1,56 years,Males,2065,3959
Low variant L1,56 years,Males,2066,4001
Low variant L1,56 years,Males,2067,3944
Low variant L1,56 years,Males,2068,3779
Low variant L1,56 years,Males,2069,3714
Low variant L1,56 years,Males,2070,3523
Low variant L1,56 years,Males,2071,3518
Low variant L1,56 years,Males,2072,3346
Low variant L1,56 years,Males,2073,3259
Low variant L1,56 years,Males,2074,3198
Low variant L1,56 years,Females,2026,2068
Low variant L1,56 years,Females,2027,1967
Low variant L1,56 years,Females,2028,2075
Low variant L1,56 years,Females,2029,2374
Low variant L1,56 years,Females,2030,2337
Low variant L1,56 years,Females,2031,2195
Low variant L1,56 years,Females,2032,2305
Low variant L1,56 years,Females,2033,2294
Low variant L1,56 years,Females,2034,2290
Low variant L1,56 years,Females,2035,2405
Low variant L1,56 years,Females,2036,2590
Low variant L1,56 years,Females,2037,2635
Low variant L1,56 years,Females,2038,2565
Low variant L1,56 years,Females,2039,2601
Low variant L1,56 years,Females,2040,2689
Low variant L1,56 years,Females,2041,2673
Low variant L1,56 years,Females,2042,2667
Low variant L1,56 years,Females,2043,2653
Low variant L1,56 years,Females,2044,2705
Low variant L1,56 years,Females,2045,2993
Low variant L1,56 years,Females,2046,3115
Low variant L1,56 years,Females,2047,3315
Low variant L1,56 years,Females,2048,3195
Low variant L1,56 years,Females,2049,3334
Low variant L1,56 years,Females,2050,3561
Low variant L1,56 years,Females,2051,3522
Low variant L1,56 years,Females,2052,3456
Low variant L1,56 years,Females,2053,3522
Low variant L1,56 years,Females,2054,3579
Low variant L1,56 years,Females,2055,3603
Low variant L1,56 years,Females,2056,3651
Low variant L1,56 years,Females,2057,3613
Low variant L1,56 years,Females,2058,3422
Low variant L1,56 years,Females,2059,3447
Low variant L1,56 years,Females,2060,3409
Low variant L1,56 years,Females,2061,3351
Low variant L1,56 years,Females,2062,3192
Low variant L1,56 years,Females,2063,3203
Low variant L1,56 years,Females,2064,3196
Low variant L1,56 years,Females,2065,3341
Low variant L1,56 years,Females,2066,3397
Low variant L1,56 years,Females,2067,3393
Low variant L1,56 years,Females,2068,3197
Low variant L1,56 years,Females,2069,3260
Low variant L1,56 years,Females,2070,3128
Low variant L1,56 years,Females,2071,3069
Low variant L1,56 years,Females,2072,2999
Low variant L1,56 years,Females,2073,2963
Low variant L1,56 years,Females,2074,2928
Low variant L1,57 years,Total,2026,4091
Low variant L1,57 years,Total,2027,4175
Low variant L1,57 years,Total,2028,4111
Low variant L1,57 years,Total,2029,4386
Low variant L1,57 years,Total,2030,4835
Low variant L1,57 years,Total,2031,4918
Low variant L1,57 years,Total,2032,4693
Low variant L1,57 years,Total,2033,4906
Low variant L1,57 years,Total,2034,5014
Low variant L1,57 years,Total,2035,4920
Low variant L1,57 years,Total,2036,5177
Low variant L1,57 years,Total,2037,5559
Low variant L1,57 years,Total,2038,5685
Low variant L1,57 years,Total,2039,5548
Low variant L1,57 years,Total,2040,5740
Low variant L1,57 years,Total,2041,5814
Low variant L1,57 years,Total,2042,5843
Low variant L1,57 years,Total,2043,5771
Low variant L1,57 years,Total,2044,5897
Low variant L1,57 years,Total,2045,6194
Low variant L1,57 years,Total,2046,6845
Low variant L1,57 years,Total,2047,7001
Low variant L1,57 years,Total,2048,7600
Low variant L1,57 years,Total,2049,7477
Low variant L1,57 years,Total,2050,7769
Low variant L1,57 years,Total,2051,8130
Low variant L1,57 years,Total,2052,8129
Low variant L1,57 years,Total,2053,7931
Low variant L1,57 years,Total,2054,8060
Low variant L1,57 years,Total,2055,8050
Low variant L1,57 years,Total,2056,8065
Low variant L1,57 years,Total,2057,7920
Low variant L1,57 years,Total,2058,7998
Low variant L1,57 years,Total,2059,7613
Low variant L1,57 years,Total,2060,7555
Low variant L1,57 years,Total,2061,7407
Low variant L1,57 years,Total,2062,7350
Low variant L1,57 years,Total,2063,7068
Low variant L1,57 years,Total,2064,7004
Low variant L1,57 years,Total,2065,6999
Low variant L1,57 years,Total,2066,7269
Low variant L1,57 years,Total,2067,7378
Low variant L1,57 years,Total,2068,7312
Low variant L1,57 years,Total,2069,6952
Low variant L1,57 years,Total,2070,6958
Low variant L1,57 years,Total,2071,6635
Low variant L1,57 years,Total,2072,6570
Low variant L1,57 years,Total,2073,6329
Low variant L1,57 years,Total,2074,6207
Low variant L1,57 years,Males,2026,2130
Low variant L1,57 years,Males,2027,2102
Low variant L1,57 years,Males,2028,2139
Low variant L1,57 years,Males,2029,2305
Low variant L1,57 years,Males,2030,2457
Low variant L1,57 years,Males,2031,2578
Low variant L1,57 years,Males,2032,2494
Low variant L1,57 years,Males,2033,2597
Low variant L1,57 years,Males,2034,2716
Low variant L1,57 years,Males,2035,2626
Low variant L1,57 years,Males,2036,2769
Low variant L1,57 years,Males,2037,2968
Low variant L1,57 years,Males,2038,3052
Low variant L1,57 years,Males,2039,2983
Low variant L1,57 years,Males,2040,3140
Low variant L1,57 years,Males,2041,3138
Low variant L1,57 years,Males,2042,3183
Low variant L1,57 years,Males,2043,3115
Low variant L1,57 years,Males,2044,3256
Low variant L1,57 years,Males,2045,3501
Low variant L1,57 years,Males,2046,3864
Low variant L1,57 years,Males,2047,3898
Low variant L1,57 years,Males,2048,4297
Low variant L1,57 years,Males,2049,4294
Low variant L1,57 years,Males,2050,4446
Low variant L1,57 years,Males,2051,4580
Low variant L1,57 years,Males,2052,4618
Low variant L1,57 years,Males,2053,4485
Low variant L1,57 years,Males,2054,4547
Low variant L1,57 years,Males,2055,4481
Low variant L1,57 years,Males,2056,4472
Low variant L1,57 years,Males,2057,4278
Low variant L1,57 years,Males,2058,4393
Low variant L1,57 years,Males,2059,4194
Low variant L1,57 years,Males,2060,4111
Low variant L1,57 years,Males,2061,4002
Low variant L1,57 years,Males,2062,4003
Low variant L1,57 years,Males,2063,3879
Low variant L1,57 years,Males,2064,3804
Low variant L1,57 years,Males,2065,3806
Low variant L1,57 years,Males,2066,3934
Low variant L1,57 years,Males,2067,3987
Low variant L1,57 years,Males,2068,3930
Low variant L1,57 years,Males,2069,3765
Low variant L1,57 years,Males,2070,3702
Low variant L1,57 years,Males,2071,3511
Low variant L1,57 years,Males,2072,3506
Low variant L1,57 years,Males,2073,3335
Low variant L1,57 years,Males,2074,3248
Low variant L1,57 years,Females,2026,1961
Low variant L1,57 years,Females,2027,2073
Low variant L1,57 years,Females,2028,1972
Low variant L1,57 years,Females,2029,2081
Low variant L1,57 years,Females,2030,2378
Low variant L1,57 years,Females,2031,2340
Low variant L1,57 years,Females,2032,2199
Low variant L1,57 years,Females,2033,2309
Low variant L1,57 years,Females,2034,2298
Low variant L1,57 years,Females,2035,2294
Low variant L1,57 years,Females,2036,2408
Low variant L1,57 years,Females,2037,2591
Low variant L1,57 years,Females,2038,2633
Low variant L1,57 years,Females,2039,2565
Low variant L1,57 years,Females,2040,2600
Low variant L1,57 years,Females,2041,2676
Low variant L1,57 years,Females,2042,2660
Low variant L1,57 years,Females,2043,2656
Low variant L1,57 years,Females,2044,2641
Low variant L1,57 years,Females,2045,2693
Low variant L1,57 years,Females,2046,2981
Low variant L1,57 years,Females,2047,3103
Low variant L1,57 years,Females,2048,3303
Low variant L1,57 years,Females,2049,3183
Low variant L1,57 years,Females,2050,3323
Low variant L1,57 years,Females,2051,3550
Low variant L1,57 years,Females,2052,3511
Low variant L1,57 years,Females,2053,3446
Low variant L1,57 years,Females,2054,3513
Low variant L1,57 years,Females,2055,3569
Low variant L1,57 years,Females,2056,3593
Low variant L1,57 years,Females,2057,3642
Low variant L1,57 years,Females,2058,3605
Low variant L1,57 years,Females,2059,3419
Low variant L1,57 years,Females,2060,3444
Low variant L1,57 years,Females,2061,3405
Low variant L1,57 years,Females,2062,3347
Low variant L1,57 years,Females,2063,3189
Low variant L1,57 years,Females,2064,3200
Low variant L1,57 years,Females,2065,3193
Low variant L1,57 years,Females,2066,3335
Low variant L1,57 years,Females,2067,3391
Low variant L1,57 years,Females,2068,3382
Low variant L1,57 years,Females,2069,3187
Low variant L1,57 years,Females,2070,3256
Low variant L1,57 years,Females,2071,3124
Low variant L1,57 years,Females,2072,3064
Low variant L1,57 years,Females,2073,2994
Low variant L1,57 years,Females,2074,2959
Low variant L1,58 years,Total,2026,4172
Low variant L1,58 years,Total,2027,4066
Low variant L1,58 years,Total,2028,4156
Low variant L1,58 years,Total,2029,4092
Low variant L1,58 years,Total,2030,4362
Low variant L1,58 years,Total,2031,4812
Low variant L1,58 years,Total,2032,4899
Low variant L1,58 years,Total,2033,4676
Low variant L1,58 years,Total,2034,4887
Low variant L1,58 years,Total,2035,4996
Low variant L1,58 years,Total,2036,4901
Low variant L1,58 years,Total,2037,5158
Low variant L1,58 years,Total,2038,5542
Low variant L1,58 years,Total,2039,5667
Low variant L1,58 years,Total,2040,5531
Low variant L1,58 years,Total,2041,5723
Low variant L1,58 years,Total,2042,5796
Low variant L1,58 years,Total,2043,5824
Low variant L1,58 years,Total,2044,5753
Low variant L1,58 years,Total,2045,5879
Low variant L1,58 years,Total,2046,6180
Low variant L1,58 years,Total,2047,6831
Low variant L1,58 years,Total,2048,6985
Low variant L1,58 years,Total,2049,7582
Low variant L1,58 years,Total,2050,7461
Low variant L1,58 years,Total,2051,7752
Low variant L1,58 years,Total,2052,8114
Low variant L1,58 years,Total,2053,8113
Low variant L1,58 years,Total,2054,7915
Low variant L1,58 years,Total,2055,8038
Low variant L1,58 years,Total,2056,8030
Low variant L1,58 years,Total,2057,8045
Low variant L1,58 years,Total,2058,7899
Low variant L1,58 years,Total,2059,7979
Low variant L1,58 years,Total,2060,7593
Low variant L1,58 years,Total,2061,7536
Low variant L1,58 years,Total,2062,7388
Low variant L1,58 years,Total,2063,7330
Low variant L1,58 years,Total,2064,7051
Low variant L1,58 years,Total,2065,6988
Low variant L1,58 years,Total,2066,6983
Low variant L1,58 years,Total,2067,7254
Low variant L1,58 years,Total,2068,7363
Low variant L1,58 years,Total,2069,7295
Low variant L1,58 years,Total,2070,6936
Low variant L1,58 years,Total,2071,6942
Low variant L1,58 years,Total,2072,6602
Low variant L1,58 years,Total,2073,6540
Low variant L1,58 years,Total,2074,6300
Low variant L1,58 years,Males,2026,2069
Low variant L1,58 years,Males,2027,2112
Low variant L1,58 years,Males,2028,2089
Low variant L1,58 years,Males,2029,2126
Low variant L1,58 years,Males,2030,2288
Low variant L1,58 years,Males,2031,2440
Low variant L1,58 years,Males,2032,2565
Low variant L1,58 years,Males,2033,2482
Low variant L1,58 years,Males,2034,2584
Low variant L1,58 years,Males,2035,2704
Low variant L1,58 years,Males,2036,2614
Low variant L1,58 years,Males,2037,2757
Low variant L1,58 years,Males,2038,2956
Low variant L1,58 years,Males,2039,3040
Low variant L1,58 years,Males,2040,2971
Low variant L1,58 years,Males,2041,3128
Low variant L1,58 years,Males,2042,3126
Low variant L1,58 years,Males,2043,3171
Low variant L1,58 years,Males,2044,3103
Low variant L1,58 years,Males,2045,3244
Low variant L1,58 years,Males,2046,3489
Low variant L1,58 years,Males,2047,3852
Low variant L1,58 years,Males,2048,3885
Low variant L1,58 years,Males,2049,4283
Low variant L1,58 years,Males,2050,4281
Low variant L1,58 years,Males,2051,4432
Low variant L1,58 years,Males,2052,4567
Low variant L1,58 years,Males,2053,4605
Low variant L1,58 years,Males,2054,4472
Low variant L1,58 years,Males,2055,4534
Low variant L1,58 years,Males,2056,4469
Low variant L1,58 years,Males,2057,4460
Low variant L1,58 years,Males,2058,4265
Low variant L1,58 years,Males,2059,4381
Low variant L1,58 years,Males,2060,4182
Low variant L1,58 years,Males,2061,4100
Low variant L1,58 years,Males,2062,3991
Low variant L1,58 years,Males,2063,3991
Low variant L1,58 years,Males,2064,3869
Low variant L1,58 years,Males,2065,3794
Low variant L1,58 years,Males,2066,3796
Low variant L1,58 years,Males,2067,3925
Low variant L1,58 years,Males,2068,3978
Low variant L1,58 years,Males,2069,3920
Low variant L1,58 years,Males,2070,3756
Low variant L1,58 years,Males,2071,3693
Low variant L1,58 years,Males,2072,3484
Low variant L1,58 years,Males,2073,3481
Low variant L1,58 years,Males,2074,3311
Low variant L1,58 years,Females,2026,2103
Low variant L1,58 years,Females,2027,1954
Low variant L1,58 years,Females,2028,2067
Low variant L1,58 years,Females,2029,1966
Low variant L1,58 years,Females,2030,2074
Low variant L1,58 years,Females,2031,2372
Low variant L1,58 years,Females,2032,2334
Low variant L1,58 years,Females,2033,2194
Low variant L1,58 years,Females,2034,2303
Low variant L1,58 years,Females,2035,2292
Low variant L1,58 years,Females,2036,2287
Low variant L1,58 years,Females,2037,2401
Low variant L1,58 years,Females,2038,2586
Low variant L1,58 years,Females,2039,2627
Low variant L1,58 years,Females,2040,2560
Low variant L1,58 years,Females,2041,2595
Low variant L1,58 years,Females,2042,2670
Low variant L1,58 years,Females,2043,2653
Low variant L1,58 years,Females,2044,2650
Low variant L1,58 years,Females,2045,2635
Low variant L1,58 years,Females,2046,2691
Low variant L1,58 years,Females,2047,2979
Low variant L1,58 years,Females,2048,3100
Low variant L1,58 years,Females,2049,3299
Low variant L1,58 years,Females,2050,3180
Low variant L1,58 years,Females,2051,3320
Low variant L1,58 years,Females,2052,3547
Low variant L1,58 years,Females,2053,3508
Low variant L1,58 years,Females,2054,3443
Low variant L1,58 years,Females,2055,3504
Low variant L1,58 years,Females,2056,3561
Low variant L1,58 years,Females,2057,3585
Low variant L1,58 years,Females,2058,3634
Low variant L1,58 years,Females,2059,3598
Low variant L1,58 years,Females,2060,3411
Low variant L1,58 years,Females,2061,3436
Low variant L1,58 years,Females,2062,3397
Low variant L1,58 years,Females,2063,3339
Low variant L1,58 years,Females,2064,3182
Low variant L1,58 years,Females,2065,3194
Low variant L1,58 years,Females,2066,3187
Low variant L1,58 years,Females,2067,3329
Low variant L1,58 years,Females,2068,3385
Low variant L1,58 years,Females,2069,3375
Low variant L1,58 years,Females,2070,3180
Low variant L1,58 years,Females,2071,3249
Low variant L1,58 years,Females,2072,3118
Low variant L1,58 years,Females,2073,3059
Low variant L1,58 years,Females,2074,2989
Low variant L1,59 years,Total,2026,4366
Low variant L1,59 years,Total,2027,4157
Low variant L1,59 years,Total,2028,4052
Low variant L1,59 years,Total,2029,4143
Low variant L1,59 years,Total,2030,4079
Low variant L1,59 years,Total,2031,4347
Low variant L1,59 years,Total,2032,4799
Low variant L1,59 years,Total,2033,4882
Low variant L1,59 years,Total,2034,4662
Low variant L1,59 years,Total,2035,4873
Low variant L1,59 years,Total,2036,4975
Low variant L1,59 years,Total,2037,4882
Low variant L1,59 years,Total,2038,5139
Low variant L1,59 years,Total,2039,5521
Low variant L1,59 years,Total,2040,5633
Low variant L1,59 years,Total,2041,5498
Low variant L1,59 years,Total,2042,5691
Low variant L1,59 years,Total,2043,5762
Low variant L1,59 years,Total,2044,5793
Low variant L1,59 years,Total,2045,5723
Low variant L1,59 years,Total,2046,5850
Low variant L1,59 years,Total,2047,6150
Low variant L1,59 years,Total,2048,6810
Low variant L1,59 years,Total,2049,6965
Low variant L1,59 years,Total,2050,7561
Low variant L1,59 years,Total,2051,7444
Low variant L1,59 years,Total,2052,7734
Low variant L1,59 years,Total,2053,8095
Low variant L1,59 years,Total,2054,8091
Low variant L1,59 years,Total,2055,7894
Low variant L1,59 years,Total,2056,8017
Low variant L1,59 years,Total,2057,8010
Low variant L1,59 years,Total,2058,8023
Low variant L1,59 years,Total,2059,7879
Low variant L1,59 years,Total,2060,7958
Low variant L1,59 years,Total,2061,7572
Low variant L1,59 years,Total,2062,7516
Low variant L1,59 years,Total,2063,7370
Low variant L1,59 years,Total,2064,7297
Low variant L1,59 years,Total,2065,7020
Low variant L1,59 years,Total,2066,6957
Low variant L1,59 years,Total,2067,6965
Low variant L1,59 years,Total,2068,7237
Low variant L1,59 years,Total,2069,7346
Low variant L1,59 years,Total,2070,7278
Low variant L1,59 years,Total,2071,6915
Low variant L1,59 years,Total,2072,6920
Low variant L1,59 years,Total,2073,6582
Low variant L1,59 years,Total,2074,6520
Low variant L1,59 years,Males,2026,2169
Low variant L1,59 years,Males,2027,2060
Low variant L1,59 years,Males,2028,2103
Low variant L1,59 years,Males,2029,2081
Low variant L1,59 years,Males,2030,2118
Low variant L1,59 years,Males,2031,2279
Low variant L1,59 years,Males,2032,2432
Low variant L1,59 years,Males,2033,2554
Low variant L1,59 years,Males,2034,2473
Low variant L1,59 years,Males,2035,2575
Low variant L1,59 years,Males,2036,2694
Low variant L1,59 years,Males,2037,2606
Low variant L1,59 years,Males,2038,2747
Low variant L1,59 years,Males,2039,2946
Low variant L1,59 years,Males,2040,3012
Low variant L1,59 years,Males,2041,2943
Low variant L1,59 years,Males,2042,3101
Low variant L1,59 years,Males,2043,3099
Low variant L1,59 years,Males,2044,3146
Low variant L1,59 years,Males,2045,3079
Low variant L1,59 years,Males,2046,3220
Low variant L1,59 years,Males,2047,3465
Low variant L1,59 years,Males,2048,3838
Low variant L1,59 years,Males,2049,3872
Low variant L1,59 years,Males,2050,4267
Low variant L1,59 years,Males,2051,4269
Low variant L1,59 years,Males,2052,4420
Low variant L1,59 years,Males,2053,4555
Low variant L1,59 years,Males,2054,4589
Low variant L1,59 years,Males,2055,4457
Low variant L1,59 years,Males,2056,4519
Low variant L1,59 years,Males,2057,4454
Low variant L1,59 years,Males,2058,4444
Low variant L1,59 years,Males,2059,4251
Low variant L1,59 years,Males,2060,4367
Low variant L1,59 years,Males,2061,4168
Low variant L1,59 years,Males,2062,4087
Low variant L1,59 years,Males,2063,3978
Low variant L1,59 years,Males,2064,3963
Low variant L1,59 years,Males,2065,3843
Low variant L1,59 years,Males,2066,3769
Low variant L1,59 years,Males,2067,3784
Low variant L1,59 years,Males,2068,3914
Low variant L1,59 years,Males,2069,3967
Low variant L1,59 years,Males,2070,3909
Low variant L1,59 years,Males,2071,3746
Low variant L1,59 years,Males,2072,3682
Low variant L1,59 years,Males,2073,3474
Low variant L1,59 years,Males,2074,3471
Low variant L1,59 years,Females,2026,2197
Low variant L1,59 years,Females,2027,2097
Low variant L1,59 years,Females,2028,1949
Low variant L1,59 years,Females,2029,2062
Low variant L1,59 years,Females,2030,1961
Low variant L1,59 years,Females,2031,2068
Low variant L1,59 years,Females,2032,2367
Low variant L1,59 years,Females,2033,2328
Low variant L1,59 years,Females,2034,2189
Low variant L1,59 years,Females,2035,2298
Low variant L1,59 years,Females,2036,2281
Low variant L1,59 years,Females,2037,2276
Low variant L1,59 years,Females,2038,2392
Low variant L1,59 years,Females,2039,2575
Low variant L1,59 years,Females,2040,2621
Low variant L1,59 years,Females,2041,2555
Low variant L1,59 years,Females,2042,2590
Low variant L1,59 years,Females,2043,2663
Low variant L1,59 years,Females,2044,2647
Low variant L1,59 years,Females,2045,2644
Low variant L1,59 years,Females,2046,2630
Low variant L1,59 years,Females,2047,2685
Low variant L1,59 years,Females,2048,2972
Low variant L1,59 years,Females,2049,3093
Low variant L1,59 years,Females,2050,3294
Low variant L1,59 years,Females,2051,3175
Low variant L1,59 years,Females,2052,3314
Low variant L1,59 years,Females,2053,3540
Low variant L1,59 years,Females,2054,3502
Low variant L1,59 years,Females,2055,3437
Low variant L1,59 years,Females,2056,3498
Low variant L1,59 years,Females,2057,3556
Low variant L1,59 years,Females,2058,3579
Low variant L1,59 years,Females,2059,3628
Low variant L1,59 years,Females,2060,3591
Low variant L1,59 years,Females,2061,3404
Low variant L1,59 years,Females,2062,3429
Low variant L1,59 years,Females,2063,3392
Low variant L1,59 years,Females,2064,3334
Low variant L1,59 years,Females,2065,3177
Low variant L1,59 years,Females,2066,3188
Low variant L1,59 years,Females,2067,3181
Low variant L1,59 years,Females,2068,3323
Low variant L1,59 years,Females,2069,3379
Low variant L1,59 years,Females,2070,3369
Low variant L1,59 years,Females,2071,3169
Low variant L1,59 years,Females,2072,3238
Low variant L1,59 years,Females,2073,3108
Low variant L1,59 years,Females,2074,3049
Low variant L1,60 years,Total,2026,4233
Low variant L1,60 years,Total,2027,4342
Low variant L1,60 years,Total,2028,4137
Low variant L1,60 years,Total,2029,4032
Low variant L1,60 years,Total,2030,4123
Low variant L1,60 years,Total,2031,4061
Low variant L1,60 years,Total,2032,4328
Low variant L1,60 years,Total,2033,4777
Low variant L1,60 years,Total,2034,4862
Low variant L1,60 years,Total,2035,4643
Low variant L1,60 years,Total,2036,4854
Low variant L1,60 years,Total,2037,4956
Low variant L1,60 years,Total,2038,4863
Low variant L1,60 years,Total,2039,5121
Low variant L1,60 years,Total,2040,5500
Low variant L1,60 years,Total,2041,5612
Low variant L1,60 years,Total,2042,5476
Low variant L1,60 years,Total,2043,5671
Low variant L1,60 years,Total,2044,5742
Low variant L1,60 years,Total,2045,5772
Low variant L1,60 years,Total,2046,5703
Low variant L1,60 years,Total,2047,5830
Low variant L1,60 years,Total,2048,6131
Low variant L1,60 years,Total,2049,6773
Low variant L1,60 years,Total,2050,6943
Low variant L1,60 years,Total,2051,7521
Low variant L1,60 years,Total,2052,7405
Low variant L1,60 years,Total,2053,7714
Low variant L1,60 years,Total,2054,8071
Low variant L1,60 years,Total,2055,8054
Low variant L1,60 years,Total,2056,7858
Low variant L1,60 years,Total,2057,7982
Low variant L1,60 years,Total,2058,7977
Low variant L1,60 years,Total,2059,7990
Low variant L1,60 years,Total,2060,7846
Low variant L1,60 years,Total,2061,7926
Low variant L1,60 years,Total,2062,7542
Low variant L1,60 years,Total,2063,7487
Low variant L1,60 years,Total,2064,7341
Low variant L1,60 years,Total,2065,7270
Low variant L1,60 years,Total,2066,6995
Low variant L1,60 years,Total,2067,6939
Low variant L1,60 years,Total,2068,6946
Low variant L1,60 years,Total,2069,7218
Low variant L1,60 years,Total,2070,7328
Low variant L1,60 years,Total,2071,7260
Low variant L1,60 years,Total,2072,6897
Low variant L1,60 years,Total,2073,6903
Low variant L1,60 years,Total,2074,6566
Low variant L1,60 years,Males,2026,2135
Low variant L1,60 years,Males,2027,2151
Low variant L1,60 years,Males,2028,2045
Low variant L1,60 years,Males,2029,2088
Low variant L1,60 years,Males,2030,2066
Low variant L1,60 years,Males,2031,2103
Low variant L1,60 years,Males,2032,2264
Low variant L1,60 years,Males,2033,2416
Low variant L1,60 years,Males,2034,2539
Low variant L1,60 years,Males,2035,2459
Low variant L1,60 years,Males,2036,2560
Low variant L1,60 years,Males,2037,2680
Low variant L1,60 years,Males,2038,2592
